timestamp,log_type,message
46.76959,Log,this is a clamped trial
46.7805,Log,this is a clamped trial
46.79187,Log,this is a clamped trial
46.80273,Log,this is a clamped trial
46.8146,Log,this is a clamped trial
46.82607,Log,this is a clamped trial
46.83655,Log,this is a clamped trial
46.84705,Log,this is a clamped trial
46.8585,Log,this is a clamped trial
46.86948,Log,this is a clamped trial
46.88067,Log,this is a clamped trial
46.89203,Log,this is a clamped trial
46.90283,Log,this is a clamped trial
46.91478,Log,this is a clamped trial
46.92495,Log,this is a clamped trial
47.1,Log,Ding! You put the target in the box!
47.1,Log,Audio Clip Played Pitch: 1.071526
47.1,Log,Ding! You put the target in the box!
47.1,Log,Audio Clip Played Pitch: 0.9372283
49.39244,Log,this is a clamped trial
49.4034,Log,this is a clamped trial
49.41445,Log,this is a clamped trial
49.42556,Log,this is a clamped trial
49.43729,Log,this is a clamped trial
49.44865,Log,this is a clamped trial
49.45872,Log,this is a clamped trial
49.46969,Log,this is a clamped trial
49.48102,Log,this is a clamped trial
49.4921,Log,this is a clamped trial
49.50307,Log,this is a clamped trial
49.51533,Log,this is a clamped trial
49.5269,Log,this is a clamped trial
49.53692,Log,this is a clamped trial
49.54757,Log,this is a clamped trial
49.55843,Log,this is a clamped trial
49.56963,Log,this is a clamped trial
49.58062,Log,this is a clamped trial
49.59175,Log,this is a clamped trial
49.60305,Log,this is a clamped trial
49.61389,Log,this is a clamped trial
49.62483,Log,this is a clamped trial
49.63649,Log,this is a clamped trial
49.64724,Log,this is a clamped trial
49.65817,Log,this is a clamped trial
49.66943,Log,this is a clamped trial
49.6805,Log,this is a clamped trial
49.69205,Log,this is a clamped trial
49.70248,Log,this is a clamped trial
49.71381,Log,this is a clamped trial
49.72673,Log,this is a clamped trial
49.738,Log,this is a clamped trial
49.7472,Log,this is a clamped trial
49.75928,Log,this is a clamped trial
49.76933,Log,this is a clamped trial
49.78014,Log,this is a clamped trial
49.79229,Log,this is a clamped trial
49.80294,Log,this is a clamped trial
49.81369,Log,this is a clamped trial
49.8249,Log,this is a clamped trial
49.83615,Log,this is a clamped trial
49.84683,Log,this is a clamped trial
49.85794,Log,this is a clamped trial
49.86933,Log,this is a clamped trial
49.88028,Log,this is a clamped trial
49.89174,Log,this is a clamped trial
49.90336,Log,this is a clamped trial
49.91455,Log,this is a clamped trial
49.92689,Log,this is a clamped trial
49.93722,Log,this is a clamped trial
49.94711,Log,this is a clamped trial
49.95795,Log,this is a clamped trial
49.96945,Log,this is a clamped trial
49.9804,Log,this is a clamped trial
49.99129,Log,this is a clamped trial
50.00242,Log,this is a clamped trial
50.01371,Log,this is a clamped trial
50.02534,Log,this is a clamped trial
50.03584,Log,this is a clamped trial
50.04697,Log,this is a clamped trial
50.05821,Log,this is a clamped trial
50.06947,Log,this is a clamped trial
50.08048,Log,this is a clamped trial
50.09188,Log,this is a clamped trial
50.10298,Log,this is a clamped trial
50.11365,Log,this is a clamped trial
50.12501,Log,this is a clamped trial
50.13736,Log,this is a clamped trial
50.14727,Log,this is a clamped trial
50.15826,Log,this is a clamped trial
50.16943,Log,this is a clamped trial
50.18049,Log,this is a clamped trial
50.19151,Log,this is a clamped trial
50.20298,Log,this is a clamped trial
50.21398,Log,this is a clamped trial
50.22502,Log,this is a clamped trial
50.23615,Log,this is a clamped trial
50.24738,Log,this is a clamped trial
50.25885,Log,this is a clamped trial
50.26961,Log,this is a clamped trial
50.28055,Log,this is a clamped trial
50.29208,Log,this is a clamped trial
50.30301,Log,this is a clamped trial
50.31381,Log,this is a clamped trial
50.32502,Log,this is a clamped trial
50.33696,Log,this is a clamped trial
50.34762,Log,this is a clamped trial
50.3581,Log,this is a clamped trial
50.36982,Log,this is a clamped trial
50.38043,Log,this is a clamped trial
50.39204,Log,this is a clamped trial
50.403,Log,this is a clamped trial
50.41382,Log,this is a clamped trial
50.42527,Log,this is a clamped trial
50.4363,Log,this is a clamped trial
50.44753,Log,this is a clamped trial
50.45863,Log,this is a clamped trial
50.46941,Log,this is a clamped trial
50.48059,Log,this is a clamped trial
50.49221,Log,this is a clamped trial
50.50304,Log,this is a clamped trial
50.51374,Log,this is a clamped trial
50.52502,Log,this is a clamped trial
50.53684,Log,this is a clamped trial
50.5475,Log,this is a clamped trial
50.55841,Log,this is a clamped trial
50.56966,Log,this is a clamped trial
50.58062,Log,this is a clamped trial
50.59161,Log,this is a clamped trial
50.60334,Log,this is a clamped trial
